date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:14	57070/57070	---M--	200	added ('OK')	image/jpeg	etag:%22deee-605240ddfdb80%22	http://www.bnc100.com/static/home/images/ho3_1.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/ho3_1.jpg	(from http://www.bnc100.com/)
10:12:15	46079/46079	---M--	200	added ('OK')	image/jpeg	etag:%22b3ff-60a1beea28c22%22	http://www.bnc100.com/upload/images/article/20231114/16999649447526310.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649447526310.jpg	(from http://www.bnc100.com/)
10:12:22	45517/45517	---M--	200	added ('OK')	image/jpeg	etag:%22b1cd-60a1beea3b8e9%22	http://www.bnc100.com/upload/images/article/20231114/16999649445542434.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649445542434.jpg	(from http://www.bnc100.com/)
10:12:31	466358/466358	---M--	200	added ('OK')	image/png	etag:%2271db6-60524cc5ef280%22	http://www.bnc100.com/static/home/images/ho1_1.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/ho1_1.png	(from http://www.bnc100.com/)
10:12:32	99755/99755	---M--	200	added ('OK')	image/jpeg	etag:%22185ab-60a1beea33fd1%22	http://www.bnc100.com/upload/images/article/20231114/16999649448219513.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649448219513.jpg	(from http://www.bnc100.com/)
10:12:37	36860/36860	---M--	200	added ('OK')	image/jpeg	etag:%228ffc-60a1beea464c8%22	http://www.bnc100.com/upload/images/article/20231114/16999649444386657.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649444386657.jpg	(from http://www.bnc100.com/)
10:12:39	104703/104703	---M--	200	added ('OK')	image/jpeg	etag:%22198ff-60a1beea5436f%22	http://www.bnc100.com/upload/images/article/20231114/16999649448268628.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649448268628.jpg	(from http://www.bnc100.com/)
10:12:42	62057/62057	---M--	200	added ('OK')	image/jpeg	etag:%22f269-60a1beea42a30%22	http://www.bnc100.com/upload/images/article/20231114/16999649442749690.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649442749690.jpg	(from http://www.bnc100.com/)
10:12:50	69196/69196	---M--	200	added ('OK')	image/jpeg	etag:%2210e4c-60a1beea4ca58%22	http://www.bnc100.com/upload/images/article/20231114/16999649441791263.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999649441791263.jpg	(from http://www.bnc100.com/)
10:12:50	53513/53513	---M--	200	added ('OK')	image/jpeg	etag:%22d109-60a1bff1b5c29%22	http://www.bnc100.com/upload/images/article/20231114/16999652204641238.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/upload/images/article/20231114/16999652204641238.jpg	(from http://www.bnc100.com/)
